2019-11-23 17:46:09.950 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.3977 ms
2019-11-23 17:46:09.962 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.246 ms
2019-11-23 17:46:11.630 +02:00 [INF] HTTP POST /Home/LogOutAsync responded 200 in 41.5068 ms
2019-11-23 17:46:11.692 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.6886 ms
2019-11-23 17:46:12.830 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.134 ms
2019-11-23 17:46:12.849 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.2933 ms
2019-11-23 17:46:12.868 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 302 in 27.0931 ms
2019-11-23 17:46:12.878 +02:00 [INF] HTTP GET /?ReturnUrl=%2FEmail%2FListEmailsAsync%3FemailStatus%3DInvalidApplication responded 200 in 1.4612 ms
2019-11-23 17:46:12.959 +02:00 [INF] HTTP GET /notification?id=0S2kdoTseDz6SQ5Nrh7fHA responded 101 in 3091.5132 ms
2019-11-23 17:46:21.283 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 119.1867 ms
2019-11-23 17:46:21.397 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 47.7179 ms
2019-11-23 17:46:21.563 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.071 ms
2019-11-23 17:46:21.748 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 1.0201 ms
2019-11-23 17:46:21.761 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 5.1681 ms
2019-11-23 17:46:22.973 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 216.9497 ms
2019-11-23 17:46:22.983 +02:00 [INF] HTTP GET /notification?id=ABrsiowN3ZbMrg064-goaQ responded 101 in 1330.3409 ms
2019-11-23 17:46:23.298 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.4695 ms
2019-11-23 17:46:23.413 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.6319 ms
2019-11-23 17:46:23.421 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.1822 ms
2019-11-23 17:46:24.458 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 200 in 105.0473 ms
2019-11-23 17:46:24.467 +02:00 [INF] HTTP GET /notification?id=2vHuxDPHRHKdtISb4YvrzA responded 101 in 1154.8017 ms
2019-11-23 17:46:24.557 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.7955 ms
2019-11-23 17:46:24.816 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.5755 ms
2019-11-23 17:46:24.833 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.8273 ms
2019-11-23 17:46:26.707 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=b4062863-bc53-41d0-970c-5b7c005882fc responded 200 in 49.0934 ms
2019-11-23 17:46:28.070 +02:00 [INF] Status of email with id b4062863-bc53-41d0-970c-5b7c005882fc has been updated by ac754604-35d3-4095-ae8b-f5dfd138f598 at 23.11.2019 г. 17:46:28. From status: InvalidApplication to status: NotReviewed.
2019-11-23 17:46:28.121 +02:00 [INF] HTTP GET /Email/ChangeStatusAsync?id=b4062863-bc53-41d0-970c-5b7c005882fc&status=NotReviewed responded 200 in 88.4574 ms
2019-11-23 17:46:28.201 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 61.2334 ms
2019-11-23 17:46:28.213 +02:00 [INF] HTTP GET /notification?id=DxIJT8CAou22M_UP-N1eRg responded 101 in 3539.8645 ms
2019-11-23 17:46:28.305 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4549 ms
2019-11-23 17:46:28.551 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3279 ms
2019-11-23 17:46:28.561 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.9478 ms
2019-11-23 17:46:49.006 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=1ef66eb5-fadf-4806-8ca5-efba870ec8a9 responded 200 in 10.4867 ms
