2019-11-25 15:17:10.330 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 365.3548 ms
2019-11-25 15:17:10.874 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 25.6136 ms
2019-11-25 15:17:11.009 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 4.5571 ms
2019-11-25 15:17:11.029 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 12.6507 ms
2019-11-25 15:17:13.373 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 668.774 ms
2019-11-25 15:17:13.450 +02:00 [INF] HTTP GET /notification?id=MYIuFwB5v-W7NcHNxt4Z1Q responded 101 in 2535.8538 ms
2019-11-25 15:17:13.696 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.7221 ms
2019-11-25 15:17:13.820 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 3.5651 ms
2019-11-25 15:17:13.829 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.7325 ms
2019-11-25 15:17:23.622 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 139.6599 ms
2019-11-25 15:17:28.968 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 45.9418 ms
2019-11-25 15:17:36.589 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 27.8403 ms
2019-11-25 15:18:03.276 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 49.6783 ms
2019-11-25 15:18:05.235 +02:00 [INF] HTTP GET /notification?id=Jq1aXiK9-a2I8yO5USZSug responded 101 in 51516.849 ms
2019-11-25 15:18:10.788 +02:00 [INF] HTTP GET / responded 302 in 1.4261 ms
2019-11-25 15:18:10.829 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 29.3102 ms
2019-11-25 15:18:11.933 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5077 ms
2019-11-25 15:18:15.793 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 63.5003 ms
2019-11-25 15:18:15.807 +02:00 [INF] HTTP GET /notification?id=xVZ1yZBA_6eSRUeahots_Q responded 101 in 3813.1616 ms
2019-11-25 15:18:16.259 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.717 ms
2019-11-25 15:18:18.224 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.4487 ms
2019-11-25 15:18:18.234 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.6118 ms
2019-11-25 15:18:18.354 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 32.9532 ms
2019-11-25 15:18:18.367 +02:00 [INF] HTTP GET /notification?id=8WKcjKlVrh4UdvIrqvz9ug responded 101 in 2085.6391 ms
2019-11-25 15:18:18.832 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5466 ms
2019-11-25 15:18:18.989 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.5476 ms
2019-11-25 15:18:19.014 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.6888 ms
